0,0.0193,0,0.0288
5,0.0489,5,0.2888
15,0.3115,15,1
30,0.41785,30,0.792
45,0.45,45,0.84895
60,0.3649,60,0.8212
90,0.30155,90,0.60645
120,0.25931,120,0.59255
240,0.22,240,0.5
