0,0.0181,0,0.00075,0,0.00725,0,0.0091
5,0.0316,5,0.0255,5,0.0254,5,0.0602
15,0.137,15,0.0338,15,0.0352,15,0.5435
30,0.4141,30,0.0901,30,0.24725,30,0.2439
45,0.3434,45,0.2333,45,0.0719,45,0.0559
60,0.20145,60,0.21835,60,0.05625,60,0.0463
90,0.273,90,0.1152,90,0.01995,90,0.0487
120,0.2332,120,0.0795,120,0.03505,120,0.0745
240,0.11,240,0.05,240,0.02,240,0.04
